T,X,Y,Z,Label,Perimeter,Volume,Intensity,ExtentX,ExtentY,ExtentZ
16,325,311,9,512,69.67544185336205,5712,3323,51,56,2
16,487,361,8,609,102.0673558626694,17956,10678,67,67,4
16,508,263,1,641,107.74115738484673,21120,12543,64,66,5
16,586,325,8,702,103.28253528288538,18605,9694,61,61,5
17,171,285,7,2,119.80159344194604,29036,14051,68,61,7
17,310,170,4,129,116.63806914863368,26796,13487,58,66,7
17,329,367,2,257,119.37648743888086,28728,13353,57,63,8
17,461,188,9,384,75.20247469337845,7182,3022,63,38,3
17,331,305,9,512,68.50100526946956,5428,2755,46,59,2
17,485,363,8,609,114.27481113302385,25200,15554,70,72,5
17,500,268,1,641,108.29941168936273,21450,12148,65,66,5
17,580,333,8,702,103.84386443292483,18910,11549,62,61,5
18,167,258,5,3,107.19423853739718,20800,8261,50,52,8
18,180,273,7,66,97.79035972533488,15792,4949,47,42,8
18,304,177,5,129,99.07384419667203,16422,8353,46,51,7
18,307,366,3,257,127.46729425769769,34974,12054,58,67,9
18,456,175,9,385,69.78910509213364,5740,2485,41,35,4
18,468,206,9,448,45.282703902762734,1568,690,28,28,2
18,332,293,9,512,68.6018163130368,5452,2351,47,58,2
18,484,372,8,609,116.41856455517676,26645,14958,73,73,5
18,500,271,1,641,110.49303559065777,22780,13113,68,67,5
18,574,344,7,702,111.54364402326183,23436,14920,62,63,6
19,159,254,4,3,97.61666422695646,15708,7676,51,44,7
19,180,297,9,66,70.01532743628019,5796,2972,46,42,3
19,290,163,7,130,90.69997770301468,12600,7423,42,50,6
19,341,164,2,193,91.49913762691469,12936,7233,44,49,6
19,288,331,1,258,78.26612492223973,8096,4451,46,44,4
19,327,376,4,321,94.33177818560463,14175,6919,45,45,7
19,447,168,9,385,61.38483294023509,3906,1472,42,31,3
19,474,234,9,448,55.838375561662474,2940,1040,35,28,3
19,340,305,9,512,75.2582784238592,7198,3621,61,59,2
19,485,376,7,609,130.2280139322654,37296,23706,74,72,7
19,511,245,1,641,111.58170703390195,23460,13647,68,69,5
19,577,337,7,702,124.07582418901428,32256,18563,63,64,8
20,153,263,6,3,108.73856782563516,21712,11367,59,46,8
20,188,308,9,66,79.75847064574005,8568,4705,56,51,3
20,287,160,8,130,92.84439315096162,13515,7403,51,53,5
20,340,162,3,193,110.68026850878496,22896,10740,53,54,8
20,286,308,0,258,84.4648531544221,10176,4389,53,48,4
20,334,364,2,321,101.86611394852486,17850,10117,50,51,7
20,442,168,10,385,36.33389902242767,810,618,30,27,1
20,483,240,9,448,55.015969517564834,2812,1244,38,37,2
20,349,313,9,512,97.74079541896026,15768,7753,73,72,3
20,484,376,6,609,139.25323063780723,45600,27678,75,76,8
20,518,223,1,641,119.15167242954166,28566,16143,69,69,6
20,584,327,6,702,124.71871558373427,32760,20227,63,65,8
21,159,251,5,3,122.82857082467787,31293,15483,61,57,9
21,203,318,8,66,90.52688572184556,12528,6933,58,54,4
21,275,170,8,130,91.60276074788678,12980,7623,55,59,4
21,332,164,3,193,116.06064350704933,26400,14764,60,55,8
21,278,315,0,258,91.10131026485055,12768,5943,56,57,4
21,344,367,2,321,104.89128894924197,19488,12096,58,56,6
21,436,164,9,385,57.9128511453377,3280,1833,40,41,2
21,487,238,9,448,73.2131886587411,6627,2906,47,47,3
21,346,320,8,512,107.08418277363414,20736,11514,72,72,4
21,488,363,6,609,139.23694180497205,45584,26853,74,77,8
21,511,212,1,641,121.37082188726353,30192,16451,68,74,6
21,585,308,6,702,127.27505395516212,34816,20796,64,68,8
22,153,241,5,3,126.29760111457229,34020,17652,63,60,9
22,214,342,9,66,96.91562269951139,15372,7272,61,63,4
22,261,178,9,130,82.66718010758173,9540,5800,53,60,3
22,344,163,2,193,122.76966588047017,31248,16779,62,63,8
22,269,313,0,258,93.73574294365294,13908,7248,57,61,4
22,362,367,2,321,109.74423833317675,22320,13838,62,60,6
22,414,155,10,385,49.914121308619876,2100,1541,42,50,1
22,485,242,9,448,64.35088191333075,4500,2549,45,50,2
22,339,320,8,512,97.55862814655418,15680,6181,49,64,5
22,494,362,7,609,142.30481653996895,48664,25614,77,79,8
22,513,207,2,641,130.23616082086548,37303,19399,73,73,7
22,587,294,7,702,120.52884137347945,29568,19046,64,66,7
23,143,244,5,3,133.07733071831694,39798,22119,66,67,9
23,215,353,8,66,97.95521229586564,15872,9678,64,62,4
23,247,193,9,130,69.7242000511174,5724,2938,54,53,2
23,341,164,2,193,121.15335429081085,30030,17014,65,66,7
23,257,293,0,258,97.44234838422138,15624,7759,62,63,4
23,379,367,1,321,106.08333746365055,20160,10864,64,63,5
23,403,146,9,385,64.12126039995385,4452,2340,53,42,2
23,488,245,9,448,62.52641970454122,4128,2188,43,48,2
23,343,336,9,512,73.79409602588358,6786,3484,39,58,3
23,496,354,7,609,122.10603310278378,30744,12472,61,72,7
23,504,213,2,641,130.82815150580038,37814,21603,74,73,7
23,587,281,7,702,126.60868020642252,34272,19798,63,68,8
24,139,246,6,3,131.1433846488234,38088,22646,69,69,8
24,203,368,7,66,122.38342168234352,30954,19009,67,66,7
24,251,203,10,130,48.15753268382779,1886,1264,41,46,1
24,340,163,2,193,122.99842407861648,31423,19499,67,67,7
24,254,266,1,258,107.74965901491316,21125,11069,65,65,5
24,384,364,1,321,107.74115738484673,21120,12571,66,64,5
24,391,146,9,385,63.50075569661863,4324,1732,46,47,2
24,503,242,9,448,61.19566430486291,3870,1537,43,45,2
24,318,339,9,513,54.275635846678696,2700,1108,25,36,3
24,371,312,9,564,51.40611732778428,2294,1093,31,37,2
24,490,361,7,609,100.53626799683586,17160,9066,44,65,6
24,496,215,2,641,138.6397723282251,45000,25837,75,75,8
24,586,276,6,702,125.98498201153078,33768,20874,63,67,8
25,141,236,6,3,136.3946164541455,42849,23490,69,69,9
25,194,360,5,66,135.73249623821698,42228,24317,69,68,9
25,252,211,10,130,47.80600531449224,1845,1275,41,45,1
25,343,157,2,193,129.23343840642752,36448,21337,68,67,8
25,260,257,1,258,110.49303559065777,22780,12253,67,68,5
25,387,362,1,321,106.63300187429884,20475,11527,63,65,5
25,384,146,9,385,70.03143031804308,5800,3070,58,50,2
25,509,248,9,448,70.59042775461084,5940,1897,44,45,3
25,308,343,9,513,73.8737560540047,6808,2647,37,46,4
25,373,305,9,564,51.747449699370335,2340,1397,30,39,2
25,462,383,8,610,81.07703070190469,9000,4694,40,45,5
25,512,362,7,625,84.99277219201089,10368,5280,36,48,6
25,489,223,3,641,142.8718049326037,49248,27220,72,76,9
25,586,272,6,702,126.60868020642252,34272,20941,63,68,8
26,142,244,6,3,133.03496218293478,39760,23858,70,71,8
26,196,367,5,66,140.52419087456667,46860,25705,71,66,10
26,239,205,9,130,60.71755364611612,3780,1878,42,45,2
26,345,160,2,193,125.43413495452407,33327,19112,69,69,7
26,265,261,1,258,111.58170703390195,23460,12321,68,69,5
26,403,357,1,321,108.29941168936273,21450,12425,66,65,5
26,391,143,9,385,86.12527953880658,10788,4220,58,62,3
26,506,247,10,448,43.458167420137634,1386,1022,42,33,1
26,308,350,9,513,69.50424843170511,5670,2307,42,45,3
26,376,299,9,564,58.345139785759486,3354,1571,43,39,2
26,453,387,8,610,82.71048403383965,9555,5337,39,49,5
26,519,357,7,625,86.06136465110934,10764,6392,39,46,6
26,482,228,3,641,144.18262865721704,50616,26950,74,76,9
26,584,266,6,702,129.2145252730671,36432,21839,66,69,8
27,144,246,6,3,137.03145072630036,43452,24572,68,71,9
27,200,369,5,66,143.98676169377921,50410,25985,71,71,10
27,244,205,10,130,45.85307497806235,1628,1013,37,44,1
27,341,160,2,193,128.44384376903494,35784,20119,71,72,7
27,267,264,1,258,112.66509233235972,24150,12129,70,69,5
27,404,358,1,321,109.94872609518207,22445,12970,67,67,5
27,388,139,9,385,89.87915127339463,12261,5737,61,67,3
27,295,354,9,513,64.40803192730495,4512,2287,48,47,2
27,387,291,9,564,64.29363020880622,4488,2537,51,44,2
27,453,393,8,610,91.05847936513617,12750,7293,50,51,5
