T,X,Y,Z,Label,Perimeter,Volume,Intensity,ExtentX,ExtentY,ExtentZ
40,220,207,10,131,33.164788800732495,616,470,28,22,1
40,299,155,9,162,62.11986451751893,4048,2152,44,46,2
40,259,162,2,194,111.70997836453681,23541,14025,57,59,7
40,404,169,1,225,107.3314912334565,20880,10612,58,60,6
40,213,282,1,259,91.10131026485055,12768,7942,56,57,4
40,336,282,1,290,92.17318871965783,13224,7027,58,57,4
40,314,400,2,322,104.26318233880156,19140,11946,55,58,6
40,429,378,1,353,103.0507098147305,18480,9751,55,56,6
40,392,118,9,386,83.25227121016353,9744,5771,56,58,3
40,511,152,6,417,115.44780171772729,25984,15168,56,58,8
40,552,256,9,480,58.39149145553114,3362,1865,41,41,2
40,290,340,9,513,101.55701055615827,17688,8707,67,66,4
40,385,259,9,564,71.88181181121006,6272,3783,56,56,2
40,407,394,8,610,115.08529786913674,25740,11543,66,65,6
40,488,350,6,625,125.35504657608183,33264,19708,66,63,8
40,442,267,1,642,110.86365814403612,23010,11399,59,65,6
40,544,243,2,671,118.67425655967504,28224,15269,64,63,7
40,598,315,7,703,108.46073681257884,21546,12416,57,54,7
40,540,381,9,718,54.989870856382026,2808,1393,36,39,2
41,138,260,9,4,91.08227928241573,12760,6511,55,58,4
41,174,202,2,35,111.72104972024503,23548,13056,58,58,7
41,181,343,9,67,65.72284303013491,4794,2497,51,47,2
41,226,394,3,98,123.54270646899941,31842,15954,61,58,9
41,223,209,10,131,40.089129901153626,1088,716,34,32,1
41,302,165,10,162,35.50784077642696,756,443,28,27,1
41,259,159,3,194,118.80865560607805,28320,16297,59,60,8
41,398,165,1,225,106.73186145251734,20532,11554,58,59,6
41,212,281,1,259,99.86784128962644,16820,9186,58,58,5
41,331,284,1,290,92.69990408866164,13452,7365,59,57,4
41,314,398,1,322,106.11490049361883,20178,11783,57,59,6
41,433,381,1,353,96.39373160025141,15125,8045,55,55,5
41,391,121,9,386,90.98700486216798,12720,5951,53,60,4
41,509,151,6,417,122.86388668942574,31320,16519,58,60,9
41,561,247,9,480,50.00901530380216,2112,860,32,33,2
41,292,346,9,513,90.41112231458838,12480,7496,65,64,3
41,385,259,9,564,83.25227121016353,9744,4380,58,56,3
41,408,386,8,610,108.77695066250644,21735,10773,63,69,5
41,483,346,7,625,126.01482213155039,33792,19091,66,64,8
41,437,266,1,642,103.24551313246629,18585,9622,59,63,5
41,543,241,2,671,122.70677157341777,31200,16817,60,65,8
41,595,315,7,703,109.78355909552853,22344,12868,56,57,7
41,540,377,9,718,56.95543807438499,3120,1726,39,40,2
42,139,257,8,4,92.69990408866164,13452,7986,57,59,4
42,171,201,2,35,110.42184994418216,22736,12789,56,58,7
42,175,339,9,67,81.79140258298641,9240,5622,56,55,3
42,228,395,2,98,114.90617649345907,25620,14657,61,60,7
42,218,205,10,131,31.935316776680953,550,407,25,22,1
42,309,154,10,162,29.869033492205062,450,323,18,25,1
42,261,158,3,194,124.2141474074492,32364,16842,58,62,9
42,399,164,1,225,107.92449493196867,21228,11930,58,61,6
42,210,278,1,259,100.43852705635703,17110,9332,59,58,5
42,333,282,0,290,92.70909139338866,13456,7166,58,58,4
42,315,398,2,322,111.00801202863222,23100,12520,55,60,7
42,435,379,1,353,98.13591157097589,15960,8337,56,57,5
42,396,120,8,386,101.00280028421084,17400,8581,58,60,5
42,504,147,6,417,116.79456048454063,26904,15139,57,59,8
42,562,243,9,480,49.49868362048217,2048,809,32,32,2
42,281,351,9,513,97.93051977848575,15860,7548,65,61,4
42,383,257,9,564,72.30715787505255,6384,3511,56,57,2
42,406,383,8,610,107.67309599125394,21080,10804,62,68,5
42,488,348,7,625,127.3042924248227,34840,18983,67,65,8
42,439,263,1,642,104.3991897749344,19215,11308,61,63,5
42,537,236,2,671,123.42620064124569,31752,17940,63,63,8
42,594,305,7,703,109.78355909552853,22344,13148,57,56,7
42,543,379,9,718,69.5287562787403,5676,2808,43,44,3
43,141,256,8,4,94.81948916506936,14396,8351,59,61,4
43,167,203,2,35,111.72104972024503,23548,13466,58,58,7
43,170,340,8,67,99.86784128962644,16820,9722,58,58,5
43,231,397,3,98,120.78916365383418,29760,16366,62,60,8
43,214,207,10,131,31.01895604725357,504,368,28,18,1
43,309,159,10,162,41.23514879697008,1184,851,32,37,1
43,261,147,3,194,124.94672105579367,32940,17667,60,61,9
43,400,165,1,225,107.94482735425304,21240,11661,59,60,6
43,214,270,1,259,94.82827037359938,14400,8167,60,60,4
43,326,282,1,290,92.69990408866164,13452,7794,57,59,4
43,320,398,1,322,106.66944514503577,20496,11634,56,61,6
43,434,387,1,353,104.28496737544448,19152,10259,56,57,6
43,396,122,8,386,102.60265759142327,18240,10063,57,64,5
43,505,143,6,417,118.14490625054368,27848,16405,59,59,8
43,560,241,9,480,67.35454382747837,5160,1910,43,40,3
43,276,343,9,513,71.58644055651202,6195,2270,35,59,3
43,377,261,9,564,59.88153601330408,3626,1538,37,49,2
43,405,376,8,610,107.14267804914556,20770,10271,62,67,5
43,485,345,7,625,122.99842407861648,31423,18219,67,67,7
43,438,268,1,642,104.8589848853113,19470,10995,59,66,5
43,545,235,2,671,127.27505395516212,34816,18883,68,64,8
43,595,301,7,703,109.78355909552853,22344,12454,57,56,7
43,539,382,9,718,68.43363271036817,5412,2505,44,41,3
44,140,253,8,4,102.71503737193319,18300,10351,60,61,5
44,171,199,2,35,118.1335918560816,27840,14999,58,60,8
44,168,345,8,67,109.15101464719694,21960,12059,61,60,6
44,234,397,2,98,118.80865560607805,28320,15484,60,59,8
44,227,194,10,131,20.892507762680307,154,110,11,14,1
44,261,153,4,194,127.68559797972665,35154,18230,62,63,9
44,403,161,1,225,110.95031554629041,23064,12565,62,62,6
44,215,270,1,259,95.35219410193687,14640,8352,60,61,4
44,329,278,1,290,93.22070099434005,13680,7698,60,57,4
44,325,399,2,322,108.46073681257884,21546,12773,57,63,6
44,440,386,1,353,98.13591157097589,15960,9380,57,56,5
44,397,126,8,386,101.57997167169448,17700,10108,59,60,5
44,509,145,6,417,119.47613396882024,28800,17055,60,60,8
44,568,242,9,480,77.6162599501726,7896,3366,47,42,4
44,267,344,9,513,75.76370795165013,7344,2737,48,51,3
44,373,264,9,564,64.62144644876456,4557,2005,31,49,3
44,397,372,8,610,107.67309599125394,21080,11070,62,68,5
44,486,347,7,625,120.45270184508456,29512,17410,68,62,7
44,436,266,1,642,103.73391849107368,18850,11265,58,65,5
44,546,238,2,671,125.3751419670282,33280,18095,65,64,8
44,599,303,7,703,111.07524887852342,23142,13645,57,58,7
44,540,380,9,718,69.5287562787403,5676,2293,44,43,3
45,139,242,8,4,110.35057239668492,22692,13215,61,62,6
45,181,189,2,35,113.00153762619276,24367,14866,59,59,7
45,160,338,7,67,114.90617649345907,25620,15071,60,61,7
45,240,396,3,98,120.78916365383418,29760,16479,62,60,8
45,220,191,10,131,32.765174122575125,594,414,22,27,1
45,307,156,10,162,41.30468543593503,1190,710,34,35,1
45,269,152,3,194,125.62579265815475,33480,17479,60,62,9
45,406,162,1,225,102.15065764430261,18000,10797,60,60,5
45,217,276,1,259,94.82827037359938,14400,8275,60,60,4
45,326,272,1,290,93.77167423339867,13924,8428,59,59,4
45,327,393,2,322,107.88380708836446,21204,12863,57,62,6
45,440,386,1,353,99.29055763424316,16530,9268,57,58,5
45,392,126,8,386,107.92449493196867,21228,11948,58,61,6
45,502,137,6,417,124.94672105579367,32940,17448,60,61,9
45,568,246,9,480,71.07434313706337,6063,2100,47,43,3
45,248,329,10,514,26.660420275719943,320,217,16,20,1
45,299,357,9,541,68.28155746979422,5376,2609,32,42,4
45,344,251,10,565,24.71707405290694,255,181,17,15,1
45,414,251,9,590,40.089129901153626,1088,492,17,32,2
45,398,365,8,610,107.67309599125394,21080,12246,62,68,5
45,489,345,7,625,113.32369625601451,24576,14588,64,64,6
45,435,270,1,642,112.1024607710834,23790,13448,61,65,6
45,549,234,3,671,132.3713904050955,39168,20229,68,64,9
45,596,313,6,703,115.44780171772729,25984,14656,56,58,8
45,540,381,9,718,56.88232446631681,3108,1807,42,37,2
46,138,241,7,4,114.26422915211947,25193,15184,59,61,7
46,190,191,2,35,120.78916365383418,29760,14926,62,60,8
46,157,339,6,67,121.43510729223225,30240,17347,60,63,8
46,246,401,3,98,125.62579265815475,33480,17227,60,62,9
46,218,200,9,131,57.42616552102221,3198,1638,41,39,2
46,300,156,9,162,70.56665192669094,5934,2028,43,46,3
46,274,159,2,194,120.70251429579407,29696,16286,58,64,8
46,404,162,1,225,108.54121971888623,21594,12786,59,61,6
46,223,281,1,259,103.28253528288538,18605,9162,61,61,5
46,332,285,1,290,102.14119837416388,17995,9664,61,59,5
46,332,397,2,322,114.84335189017905,25578,13761,58,63,7
46,441,391,1,353,107.34177104304274,20886,11314,59,59,6
46,383,127,8,386,104.94866931569162,19520,9942,61,64,5
46,498,138,6,417,125.63704844108912,33489,18481,61,61,9
46,570,238,9,480,81.00489807423186,8976,3135,51,44,4
46,240,331,10,514,24.71707405290694,255,181,15,17,1
46,301,365,9,541,66.5085573616727,4968,3191,36,46,3
46,333,249,10,565,31.20250443768445,513,358,19,27,1
46,401,355,8,610,98.4790469207313,16128,10232,63,64,4
46,485,344,8,625,107.74115738484673,21120,11553,66,64,5
46,428,271,2,642,118.61536113731763,28182,14441,61,66,7
46,542,232,3,671,124.72886687106408,32768,19772,64,64,8
46,593,313,6,703,120.07055237997417,29232,15525,56,58,9
46,545,376,9,718,55.49439326628628,2886,1486,39,37,2
47,140,241,7,4,109.15101464719694,21960,13947,60,61,6
47,187,197,2,35,114.26422915211947,25193,14853,59,61,7
47,161,337,7,67,115.54103013109558,26047,16063,61,61,7
47,248,399,3,98,122.10603310278378,30744,17959,61,63,8
47,216,194,9,131,63.04716338614158,4232,1858,46,46,2
47,303,155,9,162,63.03723000589429,4230,2442,45,47,2
47,265,165,3,194,120.75668471608834,29736,17152,59,63,8
47,399,163,2,225,109.74423833317675,22320,13344,60,62,6
47,225,296,1,259,103.27328223362579,18600,8718,62,60,5
47,326,284,1,290,102.6963244844045,18290,9265,59,62,5
47,334,397,2,322,114.88524259310633,25606,15096,59,62,7
47,443,392,2,353,109.74423833317675,22320,12909,62,60,6
47,380,125,8,386,110.35057239668492,22692,12952,61,62,6
47,493,137,5,417,130.83507070147152,37820,19297,61,62,10
47,578,233,9,480,68.38301609965923,5400,3046,54,50,2
47,299,374,9,541,71.64417158198154,6210,3272,45,46,3
47,331,253,10,565,22.088901975417347,182,139,13,14,1
47,398,354,9,610,97.93051977848575,15860,8626,61,65,4
47,488,337,8,625,111.54364402326183,23436,12350,62,63,6
47,419,271,2,642,120.45270184508456,29512,16581,62,68,7
47,536,233,2,671,126.01482213155039,33792,18927,64,66,8
47,592,312,6,703,120.08287362709812,29241,15726,57,57,9
47,548,372,9,718,69.4551808203156,5658,2137,46,41,3
48,139,244,7,4,116.80034841063586,26908,14759,62,62,7
48,189,206,2,35,115.53067884720835,26040,14275,60,62,7
48,164,339,7,67,116.79021916347635,26901,16214,63,61,7
48,252,400,4,98,131.5005007814108,38400,18605,60,64,10
48,211,196,9,131,67.38064012758173,5166,1751,41,42,3
48,299,152,9,162,86.68578645016164,11000,4564,55,50,4
48,271,162,3,194,122.07425120829699,30720,17607,60,64,8
48,401,161,1,225,112.13072664741266,23808,12791,62,64,6
48,222,301,1,259,103.27328223362579,18600,8596,60,62,5
48,322,280,1,290,102.11281004630536,17980,8879,58,62,5
48,332,400,2,322,114.88524259310633,25606,15228,59,62,7
48,436,390,1,353,107.34177104304274,20886,11836,59,59,6
48,383,131,8,386,108.51105261902262,21576,12432,58,62,6
48,494,140,6,417,124.94672105579367,32940,19452,61,60,9
48,573,239,9,480,84.39839769570813,10152,4085,54,47,4
48,285,383,9,541,71.12120278019954,6075,2842,45,45,3
48,332,243,10,565,18.091878615559565,100,72,10,10,1
48,390,354,9,610,101.94594635890256,17892,7827,63,71,4
48,484,332,8,625,105.52791714311103,19845,11078,63,63,5
48,419,272,2,642,117.4049158496214,27328,15512,61,64,7
48,537,234,3,671,129.23343840642752,36448,21375,68,67,8
48,587,315,6,703,122.87565413386983,31329,15411,59,59,9
48,548,372,9,718,70.59042775461084,5940,2671,44,45,3
49,136,243,7,4,116.16898284411265,26474,15503,61,62,7
49,190,207,2,35,107.3314912334565,20880,13111,58,60,6
49,163,339,7,67,118.04299857526148,27776,15585,62,64,7
49,247,404,5,98,130.11618217787938,37200,19714,60,62,10
49,214,199,9,131,64.40803192730495,4512,1704,47,48,2
49,299,148,9,162,86.74878486365115,11024,4246,53,52,4
49,274,148,3,194,122.70677157341777,31200,17949,60,65,8
49,405,159,1,225,110.94069363005568,23058,13414,61,63,6
49,230,299,1,259,95.35219410193687,14640,8306,61,60,4
49,320,284,1,290,102.60265759142327,18240,8575,57,64,5
49,335,401,2,322,115.53067884720835,26040,15588,60,62,7
49,436,390,2,353,106.71106412902661,20520,12415,60,57,6
49,382,133,8,386,112.05531927655443,23760,11177,60,66,6
49,487,142,6,417,126.99539207707045,34587,19011,61,63,9
49,570,238,9,480,90.8150063331944,12648,4556,62,51,4
49,297,392,9,541,60.73896322251881,3784,1463,44,43,2
49,316,247,10,565,30.93667726280136,500,355,25,20,1
49,389,354,9,610,90.36763451455806,12462,6889,62,67,3
49,482,328,8,625,121.7621753401091,30485,14048,65,67,7
49,414,272,2,642,118.04299857526148,27776,15823,62,64,7
49,536,232,3,671,131.77389138288407,38640,22268,69,70,8
49,586,320,6,703,114.75648094031929,25520,14887,58,55,8
49,547,374,9,718,74.76009696007966,7056,2996,48,49,3
