Time,Frequency,FFT
63.333333333333336,0.0,23.413911651823422
64.0,0.02857142857142857,4.410635715552748
65.0,0.05714285714285714,1.0735821818119367
66.0,0.08571428571428572,0.9605686783609139
67.0,0.11428571428571428,0.1730477584036195
68.0,0.14285714285714285,0.2534924216347151
69.0,0.17142857142857143,0.29290543862899665
70.0,0.19999999999999998,0.13894155263355557
71.0,0.22857142857142856,0.1684575537788488
72.0,0.2571428571428571,0.017888930421037764
73.0,0.2857142857142857,0.04471528970126382
74.0,0.3142857142857143,0.049806667484019365
75.0,0.34285714285714286,0.014911137811298296
76.0,0.37142857142857144,0.0030121919567064007
77.0,0.39999999999999997,0.04875658233558869
78.0,0.42857142857142855,0.07437101877795008
79.0,0.45714285714285713,0.10256468487685845
